"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"22096652","The Ideal Trader","TheIdealTrader","10% discount on BitMex fees, if you choose to attempt this risky endeavor:","Price action, order flow, catalysts, they are only tools. What will you craft with them? Ask: ""What would the ideal trader do in this situation?""~Crypto veteran","https://t.co/LvV0H59LkK","28081","2986","2009-02-27","en"
"aBNfgKarx21fYFKLCOMI2tQ0Uws1pSbcXy8dppmDOcg=","aBNfgKarx21fYFKLCOMI2tQ0Uws1pSbcXy8dppmDOcg=","aBNfgKarx21fYFKLCOMI2tQ0Uws1pSbcXy8dppmDOcg=","Paris","Researcher, Genius, Creator of Mediums, Food Afcionado, Syndicate Aggregator. When I give out candies, I give people the flavour I don't like.","","19","118","2012-05-29","en"
"pzbPYIp5LQ5eHXJySt5lBOgKwIKn0ggJ1FdMejUYeYg=","pzbPYIp5LQ5eHXJySt5lBOgKwIKn0ggJ1FdMejUYeYg=","pzbPYIp5LQ5eHXJySt5lBOgKwIKn0ggJ1FdMejUYeYg=","Freiburg im","Niki's ass.","","27","64","2012-05-29","en"
"534277866","Faley Svia","FaleyxSviax","Kansas, USA","Farley Sylvia","","38253","6509","2012-03-23","zh-cn"
"3970427595","young sinatra","shtimsrry","mia","lost soul","","10469","2163","2015-10-16","en"
"132601331","王思颖","DonnaQuinn31","Manhattan, NY","DonnaQuinn31","","22385","1572","2010-04-13","zh-tw"
"75666249","💕Escort-Ads.com","escortadsVIPs","","Leading global advertising platform, connecting 20,000+ advertisers with 45,000+ members.","https://t.co/Pe8r9EXTSm","22013","4131","2009-09-19","en"
"XfQ7hhIcYn2TFb7mdq45xs26a5yL5wUHskPIEWJCIE8=","XfQ7hhIcYn2TFb7mdq45xs26a5yL5wUHskPIEWJCIE8=","XfQ7hhIcYn2TFb7mdq45xs26a5yL5wUHskPIEWJCIE8=","","","","3046","2176","2009-10-14","en"
"tiCnXB32EYKFsoR0NbxpCKKanoeAj3wRILPMNp+myjo=","tiCnXB32EYKFsoR0NbxpCKKanoeAj3wRILPMNp+myjo=","tiCnXB32EYKFsoR0NbxpCKKanoeAj3wRILPMNp+myjo=","","","","121","732","2011-05-25","fr"
"1447666153","宇智波","kojishikokuhon","Chicago, Illinois","you can break me down, just like you did before.","","116484","992","2013-05-22","zh-cn"
"14600124","upbeat❄️","sodamnupbeat","Canada","nice guy, works hard, loves the game 🤝 @vaguejpg @autostoned","https://t.co/QawieomKoY","18765","451","2008-04-30","en"
"F3uvEL4yBGKljlONEbUqJ8jOLfwMtIbebQZ8+3lhM0M=","F3uvEL4yBGKljlONEbUqJ8jOLfwMtIbebQZ8+3lhM0M=","F3uvEL4yBGKljlONEbUqJ8jOLfwMtIbebQZ8+3lhM0M=","mumbai ","software engineer","","3444","4223","2015-12-15","en"
"27908113",".","acc4k","","","","5150","555","2009-03-31","en"
"267090518","ماهر الملالحة","maheralmlalha","الجهراء, دولة الكويت","🇰🇼#كاتب.. نعم فقير ولا أبالي بكم..🇰🇼#اصداري_خواطر_سيد_العشاق #عاشق_الليل","","285742","195342","2011-03-16","en"
"2715586658","MyDiffuser","mydiffuser","","🌱 Essential Oil Diffusers & Candles for Home | Opening Soon","https://t.co/TvqZNgiqLm","56196","45477","2014-08-07","en"
"2718897816","Problem Solved","noproblem_4u","","Tag your best 5 friends and let him know how to solve problems. follow for best tweet","https://t.co/sS1ZeSriAy","11323","0","2014-08-09","en"
"462663253","Choice Abouzar","gamishinjiruto","hoenix, ArizonaP","and you call me up again just to brake me like a promise","","20595","55","2012-01-13","zh-cn"
"3076628132","AbdullahQ","AQ_SAU","Worldwide","حب الوطن يقاس بحجم العطاء⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀🇸🇦💚 ⠀ ⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀","","43234","2929","2015-03-13","en"
"351897371","Daily XXX posts","AdultFliXX","USA","Sapiosexual girl, always on the move. Own no content, DM for removal/promo.","https://t.co/o4nc2xO6bP","274276","5592","2011-08-09","en"
"80073873","derek","brooklynreborn","","piss on your grave","","13288","7200","2009-10-05","en"
"406209803","Bill Howard","anakimakieru","","i don’t care, i love it!","","19107","2","2011-11-06","zh-cn"
"uLSmkkw6KZIAxPjvCOUOlquZLetiOxTnHOc7JkAkgsM=","uLSmkkw6KZIAxPjvCOUOlquZLetiOxTnHOc7JkAkgsM=","uLSmkkw6KZIAxPjvCOUOlquZLetiOxTnHOc7JkAkgsM=","Illescas, Toledo, Spain","Funde overGame en 2006. Apasionado del motor y la tecnología. Actualmente tramando algo y disfrutando de mi peque.","https://t.co/qb7acu9FU2","493","445","2009-11-04","es"
"125695937","𝓙an","badgaljanis","","💕Luxurious Lashes. 3D soft, comfortable lashes, Supple hairs, Reusable x 20.","https://t.co/tys192tGJO","5359","370","2010-03-23","en"
"376361892","phoenixcs","zharondalar","","#news #life #politics #travel #economics #travel #china #breaking #pets #tour #photography #feeling #fashion #USA #funny","","18256","6565","2011-09-19","zh-cn"
"18144998",".","syedsajidalirgc","","","","9471","98","2008-12-15","en"
"915453925599232000","CZ","joncmafe","India","","","18103","17198","2017-10-04","en"
"63535314","levinxgood","levinxgood","United States","＃followmeplease #followback","","15345","8391","2009-08-06","zh-cn"
"46544931","-","stainright","","","","9040","2214","2009-06-12","en"
"504692877","托马斯-罗","gurimonobobako","Philadelphia, Pennsylvania","maybe there's nothing after midnight.","","10284","19","2012-02-26","zh-cn"
"437268191","O","amit098s","","fan","","7882","1497","2011-12-15","en"
"1707494708","Ali Haider","leehydr","New York, USA","My forest is dark. Trees are sad and all the butterflies have broken wings.","https://t.co/EjVb4R8gGX","140756","1092","2013-08-28","en"
"1454274516","熏君","nkisomekusua","","s","","33421","1763","2013-05-24","zh-cn"
"272118519","Lily Mann","lily__mann","Texas","","","9234","2463","2011-03-25","en"
"8evSV6sQMkI8kYceAUwnw4kl48FXV67crcwztwEjKc=","8evSV6sQMkI8kYceAUwnw4kl48FXV67crcwztwEjKc=","8evSV6sQMkI8kYceAUwnw4kl48FXV67crcwztwEjKc=","","...","","41","12","2013-07-05","es"
"188403017","14k","sold1011","","","","14785","1197","2010-09-08","en"
"255242365","Pvrks","PvrksTV","California, USA","USN | F/A | PS4/PC | Catch me taking the trash out: https://t.co/ioEooHAYO1 | https://t.co/nbu6iQHv7Z","https://t.co/2Ii39pz4LI","5717","978","2011-02-20","en"
"117075288","10k","sold1011x2","","","","10163","992","2010-02-24","zh-cn"
"204805477","rich97oxrehak","semleke386","United States","rich97oxrehak","","19907","15157","2010-10-19","zh-cn"
"14914573","Binɑᴨce","jomcffee","","","","14035","34","2008-05-26","en"
"2991378328","Girl Post","sk5424513","","","","33994","2344","2015-01-22","en"
